Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1654869536.2647014,33361,1654869536,100540401,xsens_imu_link,0.2144794464111328,-0.09326767921447754,0.9616057872772217
1654869536.264825,33362,1654869536,111546637,xsens_imu_link,0.21593856811523438,-0.09325575828552246,0.9611368179321289
1654869536.2649395,33363,1654869536,122300241,xsens_imu_link,0.21494746208190918,-0.09181427955627441,0.9621059894561768
1654869536.2650402,33364,1654869536,130949458,xsens_imu_link,0.21592450141906738,-0.09278583526611328,0.9625952243804932
1654869536.2651157,33365,1654869536,141791723,xsens_imu_link,0.21639561653137207,-0.09231376647949219,0.9640591144561768
1654869536.2652156,33366,1654869536,150298894,xsens_imu_link,0.21738672256469727,-0.09375524520874023,0.9630897045135498
1654869536.2652886,33367,1654869536,162984321,xsens_imu_link,0.21593689918518066,-0.09276509284973145,0.9606547355651855
1654869536.2653227,33368,1654869536,171475066,xsens_imu_link,0.21688055992126465,-0.09132504463195801,0.9626157283782959
1654869536.2653701,33369,1654869536,180748059,xsens_imu_link,0.21689510345458984,-0.09278130531311035,0.9626059532165527
1654869536.2654371,33370,1654869536,191983911,xsens_imu_link,0.21591639518737793,-0.09230566024780273,0.9630835056304932
1654869536.2655122,33371,1654869536,203333792,xsens_imu_link,0.21641135215759277,-0.09228777885437012,0.9616334438323975
1654869536.2655768,33372,1654869536,212343228,xsens_imu_link,0.21543431282043457,-0.09230256080627441,0.9625933170318604
1654869536.2656195,33373,1654869536,220796031,xsens_imu_link,0.2154085636138916,-0.08938479423522949,0.9621274471282959
1654869536.2657444,33374,1654869536,230317120,xsens_imu_link,0.21737885475158691,-0.09327507019042969,0.9635782241821289
1654869536.2659407,33375,1654869536,241439311,xsens_imu_link,0.2169027328491211,-0.09227514266967773,0.9606688022613525
1654869536.2661204,33376,1654869536,250851370,xsens_imu_link,0.2173771858215332,-0.09179806709289551,0.9616472721099854
1654869536.2662473,33377,1654869536,262002634,xsens_imu_link,0.2164144515991211,-0.09228253364562988,0.9611485004425049
1654869536.2814393,33378,1654869536,271894421,xsens_imu_link,0.21689653396606445,-0.09327197074890137,0.963087797164917
1654869536.2838948,33379,1654869536,282493942,xsens_imu_link,0.21641278266906738,-0.09179186820983887,0.9606664180755615
1654869536.2916033,33380,1654869536,290906804,xsens_imu_link,0.21692657470703125,-0.09470248222351074,0.9606525897979736
1654869536.3020527,33381,1654869536,301446977,xsens_imu_link,0.21740412712097168,-0.09421992301940918,0.9611461162567139
1654869536.3142118,33382,1654869536,312187859,xsens_imu_link,0.21591496467590332,-0.09378814697265625,0.9654994010925293
1654869536.3237112,33383,1654869536,322795768,xsens_imu_link,0.21690940856933594,-0.0942375659942627,0.9625961780548096
1654869536.3340871,33384,1654869536,333251187,xsens_imu_link,0.21737408638000488,-0.0927896499633789,0.9635813236236572
1654869536.3427546,33385,1654869536,341592239,xsens_imu_link,0.21642565727233887,-0.09374403953552246,0.9616236686706543
1654869536.3535209,33386,1654869536,352151595,xsens_imu_link,0.21838617324829102,-0.09567713737487793,0.9616320133209229
1654869536.3681343,33387,1654869536,362816871,xsens_imu_link,0.217393159866333,-0.09374499320983887,0.9621195793151855
1654869536.3736813,33388,1654869536,371262972,xsens_imu_link,0.21739506721496582,-0.09522223472595215,0.96405029296875
1654869536.3825517,33389,1654869536,381882103,xsens_imu_link,0.2164289951324463,-0.09472537040710449,0.9625875949859619
1654869536.3958025,33390,1654869536,392423757,xsens_imu_link,0.21689343452453613,-0.09229087829589844,0.9621241092681885
1654869536.4039385,33391,1654869536,402938079,xsens_imu_link,0.2173914909362793,-0.09325432777404785,0.9616377353668213
1654869536.4137564,33392,1654869536,411314740,xsens_imu_link,0.21982288360595703,-0.09471511840820312,0.9631097316741943
1654869536.422609,33393,1654869536,421799323,xsens_imu_link,0.2178957462310791,-0.0942070484161377,0.9601812362670898
1654869536.4345984,33394,1654869536,432368402,xsens_imu_link,0.21935677528381348,-0.095672607421875,0.9616427421569824
1654869536.444582,33395,1654869536,442860818,xsens_imu_link,0.21742510795593262,-0.09665250778198242,0.9616148471832275
1654869536.4539955,33396,1654869536,451236219,xsens_imu_link,0.21694111824035645,-0.09615874290466309,0.9606428146362305
1654869536.4631913,33397,1654869536,461869756,xsens_imu_link,0.21690130233764648,-0.09375739097595215,0.9630844593048096
1654869536.4743083,33398,1654869536,472859290,xsens_imu_link,0.21882057189941406,-0.0918118953704834,0.9636037349700928
